sample_id,ground_truth,prediction,confidence,evidence,key_fields,raw_response,model,prompt_name,status,error_message
CYB499-001,Benign,Benign,High,Brave Browser launching from explorer.exe is a normal user activity; no suspicious command line or external network indicators present.,"[""image"", ""command_line"", ""parent_image""]","{
  ""classification"": ""Benign"",
  ""confidence"": ""High"",
  ""key_fields"": [""image"", ""command_line"", ""parent_image""],
  ""evidence"": ""Brave Browser launching from explorer.exe is a normal user activity; no suspicious command line or external network indicators present.""
}",Qwen/Qwen3-4B-Instruct-2507,structured,completed,
CYB499-002,Benign,Benign,High,"The command_line shows a standard PowerShell invocation of 'whoami', which is a common and legitimate administrative command to verify user identity. The script_block_text does not contain any malicious code or suspicious activity, and the execution context is within normal PowerShell behavior.","[""command_line"", ""script_block_text""]","{
  ""classification"": ""Benign"",
  ""confidence"": ""High"",
  ""key_fields"": [""command_line"", ""script_block_text""],
  ""evidence"": ""The command_line shows a standard PowerShell invocation of 'whoami', which is a common and legitimate administrative command to verify user identity. The script_block_text does not contain any malicious code or suspicious activity, and the execution context is within normal PowerShell behavior.""
}",Qwen/Qwen3-4B-Instruct-2507,structured,completed,
CYB499-003,Malicious,Benign,High,"bitsadmin.exe is a legitimate Windows utility used for downloading files, and the command line specifies a notification action to launch notepad.exe, which is a common and benign behavior. The parent process is cmd.exe, which is normal for such operations.","[""image"", ""command_line"", ""parent_image""]","{
  ""classification"": ""Benign"",
  ""confidence"": ""High"",
  ""key_fields"": [""image"", ""command_line"", ""parent_image""],
  ""evidence"": ""bitsadmin.exe is a legitimate Windows utility used for downloading files, and the command line specifies a notification action to launch notepad.exe, which is a common and benign behavior. The parent process is cmd.exe, which is normal for such operations.""
}",Qwen/Qwen3-4B-Instruct-2507,structured,completed,
CYB499-004,Benign,Benign,High,"Event ID 5058 indicates a successful logon attempt, and the user 'LOCAL SERVICE' is a legitimate system account typically used for services, not malicious activity.","[""event_id"", ""user""]","{
  ""classification"": ""Benign"",
  ""confidence"": ""High"",
  ""key_fields"": [""event_id"", ""user""],
  ""evidence"": ""Event ID 5058 indicates a successful logon attempt, and the user 'LOCAL SERVICE' is a legitimate system account typically used for services, not malicious activity.""
}",Qwen/Qwen3-4B-Instruct-2507,structured,completed,
CYB499-005,Malicious,Malicious,High,"The command_line executes wmic to uninstall a product named 'Tightvnc%%%%', which is a common indicator of reconnaissance or removal of legitimate software, often seen in malware campaigns. The use of wmic with a specific product name and uninstall command suggests a targeted action, potentially part of a compromise.","[""command_line"", ""user""]","{
  ""classification"": ""Malicious"",
  ""confidence"": ""High"",
  ""key_fields"": [""command_line"", ""user""],
  ""evidence"": ""The command_line executes wmic to uninstall a product named 'Tightvnc%%%%', which is a common indicator of reconnaissance or removal of legitimate software, often seen in malware campaigns. The use of wmic with a specific product name and uninstall command suggests a targeted action, potentially part of a compromise.""
}",Qwen/Qwen3-4B-Instruct-2507,structured,completed,
CYB499-006,Malicious,Benign,High,"Event ID 5 in Sysmon indicates a process creation event. The image field shows WMIC.exe, a legitimate Windows management tool commonly used for system monitoring and configuration. The user is a local admin account, which is normal for such operations. No suspicious command-line or network activity is present.","[""event_id"", ""image"", ""user""]","{
  ""classification"": ""Benign"",
  ""confidence"": ""High"",
  ""key_fields"": [""event_id"", ""image"", ""user""],
  ""evidence"": ""Event ID 5 in Sysmon indicates a process creation event. The image field shows WMIC.exe, a legitimate Windows management tool commonly used for system monitoring and configuration. The user is a local admin account, which is normal for such operations. No suspicious command-line or network activity is present.""
}",Qwen/Qwen3-4B-Instruct-2507,structured,completed,
CYB499-007,Benign,Benign,High,"Event ID 5059 indicates a successful logon attempt, and the user 'LOCAL SERVICE' is a legitimate system account typically used for services, not malicious activity.","[""event_id"", ""user""]","{
  ""classification"": ""Benign"",
  ""confidence"": ""High"",
  ""key_fields"": [""event_id"", ""user""],
  ""evidence"": ""Event ID 5059 indicates a successful logon attempt, and the user 'LOCAL SERVICE' is a legitimate system account typically used for services, not malicious activity.""
}",Qwen/Qwen3-4B-Instruct-2507,structured,completed,
CYB499-008,Benign,Benign,High,"The command_line shows a legitimate PowerShell execution path and references a local desktop script, while script_block_text contains standard PowerShell host and engine information without any suspicious commands or payloads.","[""command_line"", ""script_block_text""]","{
  ""classification"": ""Benign"",
  ""confidence"": ""High"",
  ""key_fields"": [""command_line"", ""script_block_text""],
  ""evidence"": ""The command_line shows a legitimate PowerShell execution path and references a local desktop script, while script_block_text contains standard PowerShell host and engine information without any suspicious commands or payloads.""
}",Qwen/Qwen3-4B-Instruct-2507,structured,completed,
CYB499-009,Benign,Benign,High,"Event ID 4624 indicates a successful logon. The user is a system account (SERVER002$), and the image is services.exe, which is a legitimate system process. This is a normal system service startup logon.","[""event_id"", ""user"", ""image""]","{
  ""classification"": ""Benign"",
  ""confidence"": ""High"",
  ""key_fields"": [""event_id"", ""user"", ""image""],
  ""evidence"": ""Event ID 4624 indicates a successful logon. The user is a system account (SERVER002$), and the image is services.exe, which is a legitimate system process. This is a normal system service startup logon.""
}",Qwen/Qwen3-4B-Instruct-2507,structured,completed,
CYB499-010,Benign,Benign,High,"Event ID 4648 indicates a process creation event, and the image and command line show winlogon.exe running normally as part of the Windows login process. The user is a system account (SERVER002$), which is expected for system processes, indicating legitimate system operation.","[""event_id"", ""image"", ""command_line"", ""user""]","{
  ""classification"": ""Benign"",
  ""confidence"": ""High"",
  ""key_fields"": [""event_id"", ""image"", ""command_line"", ""user""],
  ""evidence"": ""Event ID 4648 indicates a process creation event, and the image and command line show winlogon.exe running normally as part of the Windows login process. The user is a system account (SERVER002$), which is expected for system processes, indicating legitimate system operation.""
}",Qwen/Qwen3-4B-Instruct-2507,structured,completed,
CYB499-011,Malicious,Malicious,High,"The script_block_text contains a brute-force attack against LDAP credentials using a password list from a temporary file, attempting to authenticate with NTLM. This is a clear sign of credential stuffing or brute-force attack.","[""script_block_text"", ""command_line""]","{
  ""classification"": ""Malicious"",
  ""confidence"": ""High"",
  ""key_fields"": [""script_block_text"", ""command_line""],
  ""evidence"": ""The script_block_text contains a brute-force attack against LDAP credentials using a password list from a temporary file, attempting to authenticate with NTLM. This is a clear sign of credential stuffing or brute-force attack.""
}",Qwen/Qwen3-4B-Instruct-2507,structured,completed,
