sample_id,ground_truth,prediction,confidence,evidence,key_fields,raw_response,model,prompt_name,status,error_message
CYB499-001,Benign,Benign,High,"Sysmon Event ID 1 shows brave.exe launched from the standard Program Files Brave path by user SERVER002\lplui with no suspicious arguments, and parent process is explorer.exe, which is consistent with normal interactive browser execution.",[],"{""classification"":""Benign"",""confidence"":""High"",""evidence"":""Sysmon Event ID 1 shows brave.exe launched from the standard Program Files Brave path by user SERVER002\\lplui with no suspicious arguments, and parent process is explorer.exe, which is consistent with normal interactive browser execution.""}",gpt-5.4,direct,completed,
CYB499-002,Benign,Benign,High,"PowerShell event 400 shows normal engine startup for ConsoleHost with HostApplication 'powershell.exe -Command whoami'. The only command present is 'whoami', a common identity-check command, with no suspicious script content or encoded/obfuscated execution.",[],"{""classification"":""Benign"",""confidence"":""High"",""evidence"":""PowerShell event 400 shows normal engine startup for ConsoleHost with HostApplication 'powershell.exe -Command whoami'. The only command present is 'whoami', a common identity-check command, with no suspicious script content or encoded/obfuscated execution.""}",gpt-5.4,direct,completed,
CYB499-003,Malicious,Malicious,High,"Sysmon Event ID 1 shows bitsadmin.exe launched with '/setnotifycmdline' to execute 'C:\Windows\system32\notepad.exe' on BITS job completion, a known LOLBin persistence/execution technique; parent process is cmd.exe under an admin account.",[],"{""classification"":""Malicious"",""confidence"":""High"",""evidence"":""Sysmon Event ID 1 shows bitsadmin.exe launched with '/setnotifycmdline' to execute 'C:\\Windows\\system32\\notepad.exe' on BITS job completion, a known LOLBin persistence/execution technique; parent process is cmd.exe under an admin account.""}",gpt-5.4,direct,completed,
CYB499-004,Benign,Benign,Low,"Security-Auditing event 5058 on Server002 was generated by LOCAL SERVICE; with only provider, channel, event ID, timestamp, computer, and user, there is no specific indication of malicious activity.",[],"{""classification"":""Benign"",""confidence"":""Low"",""evidence"":""Security-Auditing event 5058 on Server002 was generated by LOCAL SERVICE; with only provider, channel, event ID, timestamp, computer, and user, there is no specific indication of malicious activity.""}",gpt-5.4,direct,completed,
CYB499-005,Malicious,Malicious,High,Sysmon Event ID 1 shows cmd.exe launched by wsmprovhost.exe (remote PowerShell/WinRM host) executing `wmic ... product ... call uninstall` to remove software matching `Tightvnc%` on localhost. Remote administrative uninstallation of VNC remote-access software is strongly indicative of attacker defense evasion or removal of competing remote access tooling.,[],"{""classification"":""Malicious"",""confidence"":""High"",""evidence"":""Sysmon Event ID 1 shows cmd.exe launched by wsmprovhost.exe (remote PowerShell/WinRM host) executing `wmic ... product ... call uninstall` to remove software matching `Tightvnc%` on localhost. Remote administrative uninstallation of VNC remote-access software is strongly indicative of attacker defense evasion or removal of competing remote access tooling.""}",gpt-5.4,direct,completed,
CYB499-006,Malicious,Benign,Low,"Sysmon Event ID 5 indicates a process terminated; the only process shown is C:\Windows\System32\wbem\WMIC.exe run by SERVER002\admin_test. WMIC can be used legitimately and no command line, parent process, or target activity is provided.",[],"{""classification"":""Benign"",""confidence"":""Low"",""evidence"":""Sysmon Event ID 5 indicates a process terminated; the only process shown is C:\\Windows\\System32\\wbem\\WMIC.exe run by SERVER002\\admin_test. WMIC can be used legitimately and no command line, parent process, or target activity is provided.""}",gpt-5.4,direct,completed,
CYB499-007,Benign,Benign,Low,Security-Auditing event 5059 on Server002 by LOCAL SERVICE provides too little context and shows a built-in service account rather than a clear malicious action.,[],"{""classification"":""Benign"",""confidence"":""Low"",""evidence"":""Security-Auditing event 5059 on Server002 by LOCAL SERVICE provides too little context and shows a built-in service account rather than a clear malicious action.""}",gpt-5.4,direct,completed,
CYB499-008,Benign,Benign,Medium,PowerShell event 400 indicates engine startup (NewEngineState=Available) for ConsoleHost running powershell.exe -Command ~/Desktop/test.ps1. The provided fields show only a local script invocation named test.ps1 with no suspicious script content or malicious commands.,[],"{""classification"":""Benign"",""confidence"":""Medium"",""evidence"":""PowerShell event 400 indicates engine startup (NewEngineState=Available) for ConsoleHost running powershell.exe -Command ~/Desktop/test.ps1. The provided fields show only a local script invocation named test.ps1 with no suspicious script content or malicious commands.""}",gpt-5.4,direct,completed,
CYB499-009,Benign,Benign,High,"Event ID 4624 is a successful logon, and the account is the machine account WORKGROUP\SERVER002$ with services.exe as the process, which is consistent with normal Windows service/system activity on Server002.",[],"{""classification"":""Benign"",""confidence"":""High"",""evidence"":""Event ID 4624 is a successful logon, and the account is the machine account WORKGROUP\\SERVER002$ with services.exe as the process, which is consistent with normal Windows service/system activity on Server002.""}",gpt-5.4,direct,completed,
CYB499-010,Benign,Benign,Medium,"Event 4648 was generated by the machine account WORKGROUP\SERVER002$ from winlogon.exe (C:\Windows\System32\winlogon.exe), a core Windows system process; the supplied fields show a normal OS component and no suspicious command line or anomalous executable path.",[],"{""classification"":""Benign"",""confidence"":""Medium"",""evidence"":""Event 4648 was generated by the machine account WORKGROUP\\SERVER002$ from winlogon.exe (C:\\Windows\\System32\\winlogon.exe), a core Windows system process; the supplied fields show a normal OS component and no suspicious command line or anomalous executable path.""}",gpt-5.4,direct,completed,
CYB499-011,Malicious,Malicious,High,"PowerShell script reads passwords from passwords.txt and iterates through them to create LDAPConnection objects using AuthType NTLM, calling bind() for each password and printing when valid credentials are found; this is explicit password brute-force/credential guessing activity.",[],"{""classification"":""Malicious"",""confidence"":""High"",""evidence"":""PowerShell script reads passwords from passwords.txt and iterates through them to create LDAPConnection objects using AuthType NTLM, calling bind() for each password and printing when valid credentials are found; this is explicit password brute-force/credential guessing activity.""}",gpt-5.4,direct,completed,
CYB499-012,Benign,Benign,High,"PowerShell event 400 shows engine startup for HostApplication 'powershell.exe -Command ipconfig'. The only command present is 'ipconfig', a common network configuration query, with no suspicious script content or encoded/obfuscated execution.",[],"{""classification"":""Benign"",""confidence"":""High"",""evidence"":""PowerShell event 400 shows engine startup for HostApplication 'powershell.exe -Command ipconfig'. The only command present is 'ipconfig', a common network configuration query, with no suspicious script content or encoded/obfuscated execution.""}",gpt-5.4,direct,completed,
CYB499-013,Benign,Benign,High,"PowerShell event 400 shows engine startup with HostApplication 'powershell.exe -ExecutionPolicy Restricted -Command' running a simple disk-space check using Get-CimInstance Win32_OperatingSystem and Get-Volume, then printing 'Block Upgrade'/'Final result'; no suspicious download, execution, persistence, or obfuscation is present.",[],"{""classification"":""Benign"",""confidence"":""High"",""evidence"":""PowerShell event 400 shows engine startup with HostApplication 'powershell.exe -ExecutionPolicy Restricted -Command' running a simple disk-space check using Get-CimInstance Win32_OperatingSystem and Get-Volume, then printing 'Block Upgrade'/'Final result'; no suspicious download, execution, persistence, or obfuscation is present.""}",gpt-5.4,direct,completed,
CYB499-014,Malicious,Benign,Medium,"Sysmon Event ID 1 shows bitsadmin.exe launched from cmd.exe with command line '/complete fileBITS', which is a normal BITS job completion action and does not by itself indicate malicious behavior.",[],"{""classification"":""Benign"",""confidence"":""Medium"",""evidence"":""Sysmon Event ID 1 shows bitsadmin.exe launched from cmd.exe with command line '/complete fileBITS', which is a normal BITS job completion action and does not by itself indicate malicious behavior.""}",gpt-5.4,direct,completed,
CYB499-015,Malicious,Malicious,High,"PowerShell script loads System.DirectoryServices.Protocols, reads passwords from passwords.txt, iterates through them, and attempts LDAP NTLM binds for $ENV:USERNAME while printing 'Attempting' and reporting valid credentials—consistent with password brute forcing/credential stuffing.",[],"{""classification"":""Malicious"",""confidence"":""High"",""evidence"":""PowerShell script loads System.DirectoryServices.Protocols, reads passwords from passwords.txt, iterates through them, and attempts LDAP NTLM binds for $ENV:USERNAME while printing 'Attempting' and reporting valid credentials—consistent with password brute forcing/credential stuffing.""}",gpt-5.4,direct,completed,
CYB499-016,Malicious,Malicious,High,"Sysmon Event ID 1 shows cmd.exe launching bitsadmin.exe to create a BITS job, download a file from raw.githubusercontent.com into %temp% as bitsadmin3_flag.ps1, set a notify command line, resume, and complete the job. Using bitsadmin to fetch a script into Temp is a strong indicator of malicious download/execution behavior.",[],"{""classification"":""Malicious"",""confidence"":""High"",""evidence"":""Sysmon Event ID 1 shows cmd.exe launching bitsadmin.exe to create a BITS job, download a file from raw.githubusercontent.com into %temp% as bitsadmin3_flag.ps1, set a notify command line, resume, and complete the job. Using bitsadmin to fetch a script into Temp is a strong indicator of malicious download/execution behavior.""}",gpt-5.4,direct,completed,
CYB499-017,Malicious,Benign,Medium,Sysmon Event ID 1 shows conhost.exe launched from C:\Windows\System32 with a standard-looking command line ('conhost.exe 0xffffffff -ForceV1') and parent process powershell.exe. conhost.exe is a normal Windows console host commonly spawned by PowerShell; no clearly malicious indicators are present in the provided fields.,[],"{""classification"":""Benign"",""confidence"":""Medium"",""evidence"":""Sysmon Event ID 1 shows conhost.exe launched from C:\\Windows\\System32 with a standard-looking command line ('conhost.exe 0xffffffff -ForceV1') and parent process powershell.exe. conhost.exe is a normal Windows console host commonly spawned by PowerShell; no clearly malicious indicators are present in the provided fields.""}",gpt-5.4,direct,completed,
CYB499-018,Benign,Benign,High,"Sysmon Event ID 1 shows AM_Base.exe launched from C:\Windows\SoftwareDistribution\Download\Install by parent process C:\Windows\System32\wuauclt.exe under NT AUTHORITY\SYSTEM, which is consistent with a Windows Update/antimalware platform installation activity.",[],"{""classification"":""Benign"",""confidence"":""High"",""evidence"":""Sysmon Event ID 1 shows AM_Base.exe launched from C:\\Windows\\SoftwareDistribution\\Download\\Install by parent process C:\\Windows\\System32\\wuauclt.exe under NT AUTHORITY\\SYSTEM, which is consistent with a Windows Update/antimalware platform installation activity.""}",gpt-5.4,direct,completed,
CYB499-019,Benign,Benign,High,"Sysmon Event ID 1 shows AM_Delta_Patch_1.427.562.0.exe launched from C:\Windows\SoftwareDistribution\Download\Install by parent wuauclt.exe as NT AUTHORITY\SYSTEM with quiet update-style arguments ('WD /q'), consistent with a Windows Defender/Windows Update patch installation.",[],"{""classification"":""Benign"",""confidence"":""High"",""evidence"":""Sysmon Event ID 1 shows AM_Delta_Patch_1.427.562.0.exe launched from C:\\Windows\\SoftwareDistribution\\Download\\Install by parent wuauclt.exe as NT AUTHORITY\\SYSTEM with quiet update-style arguments ('WD /q'), consistent with a Windows Defender/Windows Update patch installation.""}",gpt-5.4,direct,completed,
CYB499-020,Malicious,Malicious,High,"PowerShell launched to copy calc.exe to a misleading user-writable path/name ('C:\users\admin\AppData\local\Microsoft\WindowsApps\foxprow.exe') and the script block then creates an Excel COM object and calls ActivateMicrosoftApp(""5""), behavior consistent with masquerading and suspicious execution setup.",[],"{""classification"":""Malicious"",""confidence"":""High"",""evidence"":""PowerShell launched to copy calc.exe to a misleading user-writable path/name ('C:\\users\\admin\\AppData\\local\\Microsoft\\WindowsApps\\foxprow.exe') and the script block then creates an Excel COM object and calls ActivateMicrosoftApp(\""5\""), behavior consistent with masquerading and suspicious execution setup.""}",gpt-5.4,direct,completed,
CYB499-021,Malicious,Benign,Medium,"Sysmon Event ID 1 shows cmd.exe launched by SERVER002\admin_test with command line '""cmd.exe"" /c chcp', which only queries/displays the active code page and is a common administrative or scripting action with no clearly malicious indicators in the provided fields.",[],"{""classification"":""Benign"",""confidence"":""Medium"",""evidence"":""Sysmon Event ID 1 shows cmd.exe launched by SERVER002\\admin_test with command line '\""cmd.exe\"" /c chcp', which only queries/displays the active code page and is a common administrative or scripting action with no clearly malicious indicators in the provided fields.""}",gpt-5.4,direct,completed,
CYB499-022,Benign,Benign,High,"PowerShell event 400 shows engine startup for ConsoleHost with HostApplication 'powershell.exe -Command ls'; 'ls' is a simple directory listing command and no suspicious script block, encoded command, or malicious indicators are present.",[],"{""classification"":""Benign"",""confidence"":""High"",""evidence"":""PowerShell event 400 shows engine startup for ConsoleHost with HostApplication 'powershell.exe -Command ls'; 'ls' is a simple directory listing command and no suspicious script block, encoded command, or malicious indicators are present.""}",gpt-5.4,direct,completed,
CYB499-023,Malicious,Malicious,High,"PowerShell launches a loop of 1000+ Invoke-WebRequest calls to https://8.8.8.8/resolve with randomized subdomains under xip.io requesting TXT records, a pattern consistent with scripted DNS-based beaconing/exfiltration rather than normal administration.",[],"{""classification"":""Malicious"",""confidence"":""High"",""evidence"":""PowerShell launches a loop of 1000+ Invoke-WebRequest calls to https://8.8.8.8/resolve with randomized subdomains under xip.io requesting TXT records, a pattern consistent with scripted DNS-based beaconing/exfiltration rather than normal administration.""}",gpt-5.4,direct,completed,
CYB499-024,Malicious,Malicious,High,"Sysmon Event ID 1 shows cmd.exe launched by wsmprovhost.exe to run 'reg add ...\policies\system /v DisableRegistryTools /t REG_DWORD /d 1 /f', which disables Registry Tools for the current user and is consistent with malicious system tampering via remote session.",[],"{""classification"":""Malicious"",""confidence"":""High"",""evidence"":""Sysmon Event ID 1 shows cmd.exe launched by wsmprovhost.exe to run 'reg add ...\\policies\\system /v DisableRegistryTools /t REG_DWORD /d 1 /f', which disables Registry Tools for the current user and is consistent with malicious system tampering via remote session.""}",gpt-5.4,direct,completed,
CYB499-025,Benign,Benign,High,"Sysmon Event ID 1 shows AM_Delta.exe launched from C:\Windows\SoftwareDistribution\Download\Install by parent wuauclt.exe as NT AUTHORITY\SYSTEM with command line 'WD /q', which is consistent with a Windows Update/Defender update process.",[],"{""classification"":""Benign"",""confidence"":""High"",""evidence"":""Sysmon Event ID 1 shows AM_Delta.exe launched from C:\\Windows\\SoftwareDistribution\\Download\\Install by parent wuauclt.exe as NT AUTHORITY\\SYSTEM with command line 'WD /q', which is consistent with a Windows Update/Defender update process.""}",gpt-5.4,direct,completed,
CYB499-026,Benign,Benign,Medium,"PowerShell event 400 indicates engine startup (NewEngineState=Available) for a simple command using ConvertTo-SecureString with -AsPlainText -Force. The provided fields show no execution of payloads, downloads, encoded commands, or other clearly malicious behavior.",[],"{""classification"":""Benign"",""confidence"":""Medium"",""evidence"":""PowerShell event 400 indicates engine startup (NewEngineState=Available) for a simple command using ConvertTo-SecureString with -AsPlainText -Force. The provided fields show no execution of payloads, downloads, encoded commands, or other clearly malicious behavior.""}",gpt-5.4,direct,completed,
