sample_id,ground_truth,prediction,confidence,evidence,key_fields,raw_response,model,prompt_name,status,error_message
CYB499-001,Benign,Benign,High,"Sysmon Event ID 1 shows a standard user-launched Brave browser process from its normal installation path, started by explorer.exe with no suspicious command-line arguments or anomalous parent process.","[""event_id"", ""image"", ""command_line"", ""parent_image"", ""user""]","{""classification"":""Benign"",""confidence"":""High"",""key_fields"":[""event_id"",""image"",""command_line"",""parent_image"",""user""],""evidence"":""Sysmon Event ID 1 shows a standard user-launched Brave browser process from its normal installation path, started by explorer.exe with no suspicious command-line arguments or anomalous parent process.""}",gpt-5.4,structured,completed,
CYB499-002,Benign,Benign,High,"PowerShell event 400 indicates engine startup, and the HostApplication shows a simple interactive command 'powershell.exe -Command whoami'. The activity is limited to identity enumeration with no suspicious script content, obfuscation, persistence, registry, or network indicators.","[""event_id"", ""provider"", ""command_line"", ""script_block_text""]","{""classification"":""Benign"",""confidence"":""High"",""key_fields"":[""event_id"",""provider"",""command_line"",""script_block_text""],""evidence"":""PowerShell event 400 indicates engine startup, and the HostApplication shows a simple interactive command 'powershell.exe -Command whoami'. The activity is limited to identity enumeration with no suspicious script content, obfuscation, persistence, registry, or network indicators.""}",gpt-5.4,structured,completed,
CYB499-003,Malicious,Malicious,High,Sysmon Event ID 1 shows bitsadmin.exe launched from cmd.exe with /setnotifycmdline to execute C:\Windows\system32\notepad.exe on BITS job completion. Using BITS notify command execution is a known LOLBin persistence/execution technique and is suspicious for admin_test.,"[""event_id"", ""image"", ""command_line"", ""parent_image"", ""user""]","{""classification"":""Malicious"",""confidence"":""High"",""key_fields"":[""event_id"",""image"",""command_line"",""parent_image"",""user""],""evidence"":""Sysmon Event ID 1 shows bitsadmin.exe launched from cmd.exe with /setnotifycmdline to execute C:\\Windows\\system32\\notepad.exe on BITS job completion. Using BITS notify command execution is a known LOLBin persistence/execution technique and is suspicious for admin_test.""}",gpt-5.4,structured,completed,
CYB499-004,Benign,Benign,Low,"Security-Auditing event 5058 from Microsoft-Windows-Security-Auditing with only LOCAL SERVICE context and no process, command line, network, or registry indicators is insufficient to suggest malicious activity; this event commonly relates to cryptographic key operations.","[""provider"", ""event_id"", ""user""]","{""classification"":""Benign"",""confidence"":""Low"",""key_fields"":[""provider"",""event_id"",""user""],""evidence"":""Security-Auditing event 5058 from Microsoft-Windows-Security-Auditing with only LOCAL SERVICE context and no process, command line, network, or registry indicators is insufficient to suggest malicious activity; this event commonly relates to cryptographic key operations.""}",gpt-5.4,structured,completed,
CYB499-005,Malicious,Malicious,High,Sysmon Event ID 1 shows cmd.exe launched via wsmprovhost.exe (remote PowerShell/WinRM host) by admin_test to run WMIC uninstall of software matching 'Tightvnc%'. Remote removal of VNC remote-access software is a strong indicator of attacker-driven defense evasion or anti-competition activity rather than normal local administration.,"[""event_id"", ""image"", ""command_line"", ""parent_image"", ""user""]","{""classification"":""Malicious"",""confidence"":""High"",""key_fields"":[""event_id"",""image"",""command_line"",""parent_image"",""user""],""evidence"":""Sysmon Event ID 1 shows cmd.exe launched via wsmprovhost.exe (remote PowerShell/WinRM host) by admin_test to run WMIC uninstall of software matching 'Tightvnc%'. Remote removal of VNC remote-access software is a strong indicator of attacker-driven defense evasion or anti-competition activity rather than normal local administration.""}",gpt-5.4,structured,completed,
CYB499-006,Malicious,Benign,Low,"Sysmon event_id 5 indicates a process terminated event, and the only process shown is WMIC.exe run by a local admin account. With no command line, parent process, or suspicious network/registry context, this single event alone is insufficient to indicate malicious activity.","[""event_id"", ""provider"", ""image"", ""user""]","{""classification"":""Benign"",""confidence"":""Low"",""key_fields"":[""event_id"",""provider"",""image"",""user""],""evidence"":""Sysmon event_id 5 indicates a process terminated event, and the only process shown is WMIC.exe run by a local admin account. With no command line, parent process, or suspicious network/registry context, this single event alone is insufficient to indicate malicious activity.""}",gpt-5.4,structured,completed,
CYB499-007,Benign,Benign,Low,"Security-Auditing event 5059 from Microsoft-Windows-Security-Auditing with only LOCAL SERVICE context and no process, command line, registry, or network indicators provided; insufficient evidence of malicious activity.","[""event_id"", ""provider"", ""user""]","{""classification"":""Benign"",""confidence"":""Low"",""key_fields"":[""event_id"",""provider"",""user""],""evidence"":""Security-Auditing event 5059 from Microsoft-Windows-Security-Auditing with only LOCAL SERVICE context and no process, command line, registry, or network indicators provided; insufficient evidence of malicious activity.""}",gpt-5.4,structured,completed,
CYB499-008,Benign,Benign,Medium,"PowerShell event 400 indicates engine startup/state change rather than execution of suspicious script content. The command line launches powershell.exe with a local script path (~/Desktop/test.ps1), and the provided script_block_text only shows engine state metadata with no malicious commands, obfuscation, or network/registry activity.","[""event_id"", ""provider"", ""command_line"", ""script_block_text""]","{""classification"":""Benign"",""confidence"":""Medium"",""key_fields"":[""event_id"",""provider"",""command_line"",""script_block_text""],""evidence"":""PowerShell event 400 indicates engine startup/state change rather than execution of suspicious script content. The command line launches powershell.exe with a local script path (~/Desktop/test.ps1), and the provided script_block_text only shows engine state metadata with no malicious commands, obfuscation, or network/registry activity.""}",gpt-5.4,structured,completed,
CYB499-009,Benign,Benign,High,"Event ID 4624 from Microsoft-Windows-Security-Auditing indicates a successful logon. The user is the machine account WORKGROUP\SERVER002$, and the process is the legitimate Windows service manager services.exe from System32, which is consistent with normal system activity.","[""event_id"", ""provider"", ""user"", ""image"", ""command_line""]","{""classification"":""Benign"",""confidence"":""High"",""key_fields"":[""event_id"",""provider"",""user"",""image"",""command_line""],""evidence"":""Event ID 4624 from Microsoft-Windows-Security-Auditing indicates a successful logon. The user is the machine account WORKGROUP\\SERVER002$, and the process is the legitimate Windows service manager services.exe from System32, which is consistent with normal system activity.""}",gpt-5.4,structured,completed,
CYB499-010,Benign,Benign,High,"Security event 4648 from Microsoft-Windows-Security-Auditing shows winlogon.exe running from the expected System32 path under the machine account WORKGROUP\SERVER002$, which is consistent with normal Windows logon/authentication activity and lacks suspicious command-line or parent/process anomalies.","[""event_id"", ""provider"", ""image"", ""user"", ""command_line""]","{""classification"":""Benign"",""confidence"":""High"",""key_fields"":[""event_id"",""provider"",""image"",""user"",""command_line""],""evidence"":""Security event 4648 from Microsoft-Windows-Security-Auditing shows winlogon.exe running from the expected System32 path under the machine account WORKGROUP\\SERVER002$, which is consistent with normal Windows logon/authentication activity and lacks suspicious command-line or parent/process anomalies.""}",gpt-5.4,structured,completed,
